Talhão,Parcelas
1,15
2,10
3,12
4,18
5,7
6,14
7,9
8,16
9,11
10,20
11,5
12,3
13,17
14,8
15,19
16,2
17,13
18,6
19,4
20,1
21,15
22,12
23,8
24,20
25,18
26,14
27,10
28,6
29,13
30,5
31,16
32,3
33,19
34,9
35,17
36,11
37,2
38,4
39,7
40,1
41,20
42,14
43,18
44,6
45,15
46,12
47,8
48,10
49,19
50,5
51,3
52,17
53,2
54,11
55,13
56,9
57,4
58,16
59,18
60,1
61,14
62,7
63,20
64,12
65,19
66,15
67,3
68,10
69,8
70,5
71,2
72,11
73,13
74,16
75,4
76,14
77,18
78,6
79,9
80,1
81,15
82,12
83,17
84,10
85,20
86,3
87,19
88,8
89,2
90,13
91,11
92,5
93,14
94,9
95,16
96,4
97,1
98,7
99,18
100,10
